article_id,true_label,predicted_verdict,predicted_label,confidence,latency_seconds
46541,1,NOT ENOUGH INFO,0,high,8.005734205245972
9546,1,NOT ENOUGH INFO,0,high,2.455929756164551
68053,1,NOT ENOUGH INFO,0,high,5.835608243942261
17228,1,NOT ENOUGH INFO,0,high,10.393913745880127
815,1,NOT ENOUGH INFO,0,high,2.50864577293396
55746,1,NOT ENOUGH INFO,0,high,2.720494031906128
21779,1,NOT ENOUGH INFO,0,high,2.6024670600891113
52597,1,NOT ENOUGH INFO,0,high,6.811988830566406
40207,1,NOT ENOUGH INFO,0,high,5.680438995361328
47561,1,NOT ENOUGH INFO,0,high,9.778625011444092
66622,1,NOT ENOUGH INFO,0,high,6.452057123184204
16406,1,NOT ENOUGH INFO,0,high,3.0205929279327393
51568,1,NOT ENOUGH INFO,0,high,2.81465482711792
17961,1,NOT ENOUGH INFO,0,high,3.78898286819458
12780,1,NOT ENOUGH INFO,0,high,6.092177152633667
32871,1,NOT ENOUGH INFO,0,high,5.785240173339844
2199,1,NOT ENOUGH INFO,0,high,3.582956075668335
44988,1,NOT ENOUGH INFO,0,high,2.8687679767608643
18873,1,NOT ENOUGH INFO,0,high,3.785884380340576
68870,1,NOT ENOUGH INFO,0,high,5.633912086486816
11528,1,NOT ENOUGH INFO,0,high,2.917567253112793
27066,1,NOT ENOUGH INFO,0,high,9.472723007202148
55191,1,NOT ENOUGH INFO,0,high,2.455883026123047
24632,1,NOT ENOUGH INFO,0,high,4.250308990478516
6131,1,NOT ENOUGH INFO,0,high,2.3034417629241943
10329,1,NOT ENOUGH INFO,0,high,2.819309949874878
55448,1,NOT ENOUGH INFO,0,high,5.883436679840088
55937,1,NOT ENOUGH INFO,0,low,2.4063758850097656
20811,1,NOT ENOUGH INFO,0,high,9.830493927001953
41642,1,NOT ENOUGH INFO,0,low,4.812680959701538
42025,0,NOT ENOUGH INFO,0,high,2.4055559635162354
56304,0,NOT ENOUGH INFO,0,high,5.836474895477295
23174,0,NOT ENOUGH INFO,0,high,9.421359062194824
49262,0,NOT ENOUGH INFO,0,high,5.8848841190338135
19935,0,NOT ENOUGH INFO,0,high,2.353729724884033
47170,0,NOT ENOUGH INFO,0,high,6.142910957336426
21714,0,NOT ENOUGH INFO,0,high,2.3583459854125977
39140,0,NOT ENOUGH INFO,0,low,2.65647292137146
53893,0,NOT ENOUGH INFO,0,high,2.354412794113159
23012,0,NOT ENOUGH INFO,0,high,2.1505520343780518
42237,0,NOT ENOUGH INFO,0,high,5.732447147369385
9725,0,NOT ENOUGH INFO,0,high,5.375652074813843
66224,0,NOT ENOUGH INFO,0,high,2.7634308338165283
18844,0,NOT ENOUGH INFO,0,high,4.556891202926636
31329,0,NOT ENOUGH INFO,0,high,2.354362964630127
14181,0,NOT ENOUGH INFO,0,high,3.1229031085968018
31663,0,NOT ENOUGH INFO,0,low,2.712796926498413
9065,0,NOT ENOUGH INFO,0,high,3.421018123626709
49443,0,NOT ENOUGH INFO,0,high,2.3130717277526855
11088,0,NOT ENOUGH INFO,0,high,2.098980188369751
30803,0,NOT ENOUGH INFO,0,high,2.8669850826263428
15510,0,NOT ENOUGH INFO,0,high,2.6104040145874023
54771,0,NOT ENOUGH INFO,0,high,2.200916051864624
66366,0,NOT ENOUGH INFO,0,high,2.611330032348633
6751,0,NOT ENOUGH INFO,0,high,2.969040870666504
157,0,NOT ENOUGH INFO,0,high,2.1499738693237305
18599,0,NOT ENOUGH INFO,0,high,3.4086780548095703
15478,0,NOT ENOUGH INFO,0,high,2.5303449630737305
42599,0,NOT ENOUGH INFO,0,high,2.4165778160095215
10142,0,NOT ENOUGH INFO,0,high,2.0885729789733887
