article_id,true_label,predicted_label,confidence,latency_seconds
46541,1,1,0.9999098777770996,0.4676680564880371
9546,1,1,0.9998838901519775,0.02061915397644043
68053,1,1,0.9999041557312012,0.05202984809875488
17228,1,1,0.9998942613601685,0.018469810485839844
815,1,1,0.999866247177124,0.0197298526763916
55746,1,1,0.9998327493667603,0.01817488670349121
21779,1,1,0.9999041557312012,0.019336938858032227
52597,1,1,0.999666690826416,0.018100976943969727
40207,1,1,0.9998916387557983,0.019556760787963867
47561,1,1,0.999718964099884,0.017839908599853516
66622,1,1,0.999868631362915,0.019179105758666992
16406,1,1,0.999884843826294,0.018100976943969727
51568,1,1,0.999864935874939,0.01923084259033203
17961,1,1,0.9998756647109985,0.0199887752532959
12780,1,1,0.9998941421508789,0.019273042678833008
32871,1,1,0.9995307922363281,0.019312143325805664
2199,1,1,0.9994845390319824,0.017821073532104492
44988,1,1,0.9998942613601685,0.019392013549804688
18873,1,1,0.9987959861755371,0.020235061645507812
68870,1,1,0.9998745918273926,0.019627809524536133
11528,1,1,0.9998636245727539,0.019154071807861328
27066,1,1,0.9998937845230103,0.019268035888671875
55191,1,0,0.995959460735321,0.019493818283081055
24632,1,1,0.9985703229904175,0.02054286003112793
6131,1,1,0.9999136924743652,0.01816582679748535
10329,1,1,0.9994661211967468,0.01992511749267578
55448,1,1,0.999887228012085,0.01921987533569336
55937,1,1,0.9998644590377808,0.01902174949645996
20811,1,1,0.9998856782913208,0.017940044403076172
41642,1,1,0.9998704195022583,0.019706249237060547
42025,0,0,0.999947190284729,0.019971132278442383
56304,0,0,0.9999494552612305,0.01821422576904297
23174,0,0,0.999942421913147,0.020552873611450195
49262,0,0,0.9999513626098633,0.017901897430419922
19935,0,0,0.999948263168335,0.019354820251464844
47170,0,0,0.999950647354126,0.01911306381225586
21714,0,0,0.9999465942382812,0.018166780471801758
39140,0,0,0.999947190284729,0.017935991287231445
53893,0,0,0.9999442100524902,0.018020153045654297
23012,0,0,0.9999511241912842,0.01921701431274414
42237,0,0,0.9999490976333618,0.019348859786987305
9725,0,0,0.9999440908432007,0.018049001693725586
66224,0,0,0.9817505478858948,0.019488811492919922
18844,0,0,0.99994957447052,0.019126176834106445
31329,0,0,0.999951958656311,0.017881155014038086
14181,0,0,0.9999488592147827,0.019915103912353516
31663,0,0,0.9999434947967529,0.020280122756958008
9065,0,0,0.9999459981918335,0.018054962158203125
49443,0,0,0.9999517202377319,0.017951011657714844
11088,0,0,0.9999480247497559,0.01789689064025879
30803,0,0,0.9999505281448364,0.017999887466430664
15510,0,0,0.994222104549408,0.019456863403320312
54771,0,0,0.9999481439590454,0.019047021865844727
66366,0,0,0.9999510049819946,0.019079923629760742
6751,0,0,0.9999512434005737,0.017904043197631836
157,0,0,0.9999475479125977,0.019370079040527344
18599,0,0,0.9999485015869141,0.019268035888671875
15478,0,0,0.9999487400054932,0.019049882888793945
42599,0,0,0.9999518394470215,0.019175052642822266
10142,0,0,0.999935507774353,0.01944112777709961
